"resultid","resultmonth","winnerid","loserid","winnerset1","winnerset2","winnerset3","winnerset4","winnerset5","loserset1","loserset2","loserset3","loserset4","loserset5"
145,"2019-02",4686,806774,6,3,7,0,0,2,6,5,0,0
146,"2019-03",10364,53391,6,7,0,0,0,2,6,0,0,0
147,"2019-06",141998,55419,6,6,0,0,0,3,2,0,0,0
148,"2019-10",4401,58977,6,1,6,0,0,4,6,3,0,0
149,"2019-09",64700,94598,2,6,6,0,0,6,3,3,0,0
150,"2019-12",207039,1711873,6,6,6,0,0,2,1,3,0,0
151,"2019-03",11095,52345,7,6,0,0,0,5,2,0,0,0
153,"2019-07",1945656,93398,7,2,6,0,0,5,6,2,0,0
154,"2019-08",67623,53255,6,7,6,0,0,3,5,3,0,0
156,"2019-08",58272,10479,6,4,7,0,0,1,6,6,0,0
158,"2019-09",606930,247320,6,4,6,0,0,4,6,4,0,0
163,"2019-11",3654,3723,6,3,6,0,0,4,6,1,0,0
164,"2019-03",51288,54415,6,6,0,0,0,2,3,0,0,0
165,"2019-01",161912,2230756,6,6,0,0,0,3,1,0,0,0
167,"2019-09",50772,76935,5,6,6,0,0,7,3,2,0,0
168,"2019-08",83218,207037,6,7,0,0,0,3,5,0,0,0
170,"2019-03",51304,76892,6,6,0,0,0,3,3,0,0,0
171,"2019-08",4190,1711873,6,6,0,0,0,4,2,0,0,0
172,"2019-10",93398,60156,6,3,7,0,0,2,6,5,0,0
173,"2019-11",3486,2516692,6,6,0,0,0,3,3,0,0,0
174,"2019-10",10819,10283,6,6,0,0,0,3,1,0,0,0
175,"2019-08",206781,1607952,6,7,0,0,0,1,6,0,0,0
177,"2019-08",398304,11134,6,6,6,0,0,1,7,4,0,0
178,"2019-08",2231281,51304,6,6,0,0,0,2,1,0,0,0
181,"2019-09",95506,34201,7,6,0,0,0,6,2,0,0,0
182,"2019-10",87295,67591,6,6,0,0,0,2,0,0,0,0
184,"2019-06",173321,54638,6,7,0,0,0,4,5,0,0,0
185,"2019-09",3766,87175,6,6,0,0,0,0,3,0,0,0
186,"2019-07",3871,4151,7,7,0,0,0,6,6,0,0,0
187,"2019-08",1194009,93116,6,6,0,0,0,3,3,0,0,0
191,"2019-09",3894,2616432,3,6,6,0,0,6,1,2,0,0
192,"2019-11",802298,368898,6,6,0,0,0,3,4,0,0,0
193,"2019-09",1398935,93116,6,6,0,0,0,2,1,0,0,0
194,"2019-09",10789,58232,6,1,6,0,0,1,6,3,0,0
195,"2019-01",207438,217512,7,6,7,0,0,6,7,6,0,0
196,"2019-10",76531,2590128,6,6,0,0,0,3,4,0,0,0
201,"2019-09",50772,64428,6,7,0,0,0,4,6,0,0,0
202,"2019-03",196974,28097,7,7,0,0,0,6,6,0,0,0
203,"2019-08",259658,10751,6,6,0,0,0,3,0,0,0,0
204,"2019-08",83953,52797,6,6,0,0,0,1,2,0,0,0
205,"2019-08",59434,2230756,0,7,7,0,0,6,6,6,0,0
206,"2019-08",3654,1398935,6,6,6,0,0,7,0,2,0,0
207,"2019-09",3994,2596786,3,6,7,0,0,6,3,6,0,0
208,"2019-09",10819,1609088,7,6,0,0,0,6,1,0,0,0
209,"2019-09",45432,50037,6,2,7,0,0,3,6,5,0,0
210,"2019-10",77968,3766,6,7,0,0,0,4,6,0,0,0
211,"2019-10",2611704,253923,6,3,6,0,0,3,6,3,0,0
213,"2019-01",84281,11042,6,6,0,0,0,2,1,0,0,0
216,"2019-11",1948598,74092,6,7,0,0,0,2,6,0,0,0
217,"2019-08",11599,1735954,6,6,0,0,0,0,0,0,0,0
220,"2019-08",65230,4348,7,6,0,0,0,6,3,0,0,0
221,"2019-11",3982,51256,6,6,0,0,0,3,2,0,0,0
222,"2019-10",84505,86388,6,6,0,0,0,4,4,0,0,0
223,"2019-06",42919,71656,6,6,6,0,0,4,7,3,0,0
225,"2019-09",1736726,2035498,6,6,0,0,0,3,3,0,0,0
226,"2019-10",2085751,64428,6,6,0,0,0,2,3,0,0,0
228,"2019-09",206783,51487,6,3,6,0,0,4,6,2,0,0
231,"2019-08",3468,3962,6,6,0,0,0,4,4,0,0,0
233,"2019-07",3766,830070,7,6,0,0,0,6,3,0,0,0
235,"2019-10",1554636,55210,7,6,0,0,0,5,0,0,0,0
240,"2019-09",83713,2544742,7,6,0,0,0,6,2,0,0,0
241,"2019-01",3464,3499,3,7,6,0,0,6,6,4,0,0
242,"2019-09",95375,3765,6,6,0,0,0,4,3,0,0,0
243,"2019-10",3828,3839,4,7,6,0,0,6,6,0,0,0
244,"2019-03",260593,198546,6,6,0,0,0,3,2,0,0,0
246,"2019-10",176778,91084,6,6,0,0,0,2,2,0,0,0
247,"2019-03",3569,3686,7,6,0,0,0,6,4,0,0,0
248,"2019-01",11040,51094,7,2,7,0,0,6,6,5,0,0
249,"2019-02",3724,3723,6,6,0,0,0,4,2,0,0,0
250,"2019-03",11348,11466,6,1,7,0,0,4,6,5,0,0
251,"2019-02",7479,206792,7,6,0,0,0,5,1,0,0,0
252,"2019-08",3994,3960,7,6,0,0,0,5,3,0,0,0
253,"2019-06",303997,45571,6,6,0,0,0,3,4,0,0,0
254,"2019-10",67623,60157,6,6,0,0,0,3,3,0,0,0
255,"2019-09",10378,11342,7,7,0,0,0,6,6,0,0,0
256,"2019-10",4508,1625971,7,6,0,0,0,5,2,0,0,0
257,"2019-08",81226,240231,6,7,5,7,0,4,6,7,5,0
258,"2019-10",197507,74171,7,6,0,0,0,6,4,0,0,0
259,"2019-01",11035,114452,6,6,0,0,0,0,2,0,0,0
260,"2019-05",3907,55210,7,6,0,0,0,6,2,0,0,0
262,"2019-10",260593,206806,6,6,0,0,0,3,4,0,0,0
263,"2019-08",223621,10765,7,3,6,0,0,6,6,3,0,0
264,"2019-11",203816,3466,7,7,0,0,0,6,6,0,0,0
265,"2019-10",70784,56114,6,6,0,0,0,4,4,0,0,0
266,"2019-01",53255,3855,6,6,0,0,0,3,3,0,0,0
267,"2019-10",206329,4508,6,6,0,0,0,4,3,0,0,0
268,"2019-07",218755,2517000,6,7,0,0,0,2,6,0,0,0
269,"2019-04",10344,10853,7,6,0,0,0,6,2,0,0,0
270,"2019-09",224134,7479,6,7,0,0,0,2,6,0,0,0
271,"2019-01",161912,10351,6,6,0,0,0,0,3,0,0,0
273,"2019-08",2608472,1292073,6,6,0,0,0,4,4,0,0,0
274,"2019-08",42681,87175,7,6,0,0,0,5,3,0,0,0
279,"2019-03",10346,24836,6,6,0,0,0,3,4,0,0,0
280,"2019-10",67623,196974,7,6,7,0,0,6,7,6,0,0
281,"2019-02",219786,10769,4,6,6,0,0,6,4,2,0,0
282,"2019-07",2568933,50992,7,7,0,0,0,6,6,0,0,0
283,"2019-01",10319,58692,6,6,0,0,0,3,2,0,0,0
284,"2019-03",10338,10839,6,6,7,0,0,4,7,5,0,0
285,"2019-09",3482,3894,6,6,0,0,0,2,2,0,0,0
286,"2019-02",3761,51296,6,3,6,0,0,2,6,3,0,0
287,"2019-03",398304,1736726,7,6,0,0,0,5,2,0,0,0
289,"2019-08",3456,253923,6,6,0,0,0,3,4,0,0,0
290,"2019-07",2115126,49884,7,6,0,0,0,6,4,0,0,0
291,"2019-01",11134,34159,6,6,0,0,0,4,2,0,0,0
292,"2019-09",77968,95375,6,6,0,0,0,2,4,0,0,0
294,"2019-08",11140,28472,6,6,0,0,0,3,2,0,0,0
296,"2019-06",1393213,2596786,7,6,0,0,0,6,3,0,0,0
297,"2019-08",2516571,28527,7,6,0,0,0,6,1,0,0,0
298,"2019-09",50772,252053,6,7,0,0,0,1,5,0,0,0
300,"2019-09",10866,11461,6,7,0,0,0,4,5,0,0,0
302,"2019-09",50772,405461,7,6,0,0,0,6,4,0,0,0
305,"2019-08",91084,2537714,6,6,0,0,0,4,1,0,0,0
307,"2019-09",58235,28399,6,6,0,0,0,3,4,0,0,0
308,"2019-02",1744266,55849,6,7,0,0,0,4,5,0,0,0
309,"2019-11",4633,3597,6,7,6,0,0,7,6,1,0,0
310,"2019-09",7479,3605,4,7,7,0,0,6,6,6,0,0
312,"2019-02",2537714,2616345,6,3,7,0,0,2,6,6,0,0
313,"2019-03",11695,10383,7,2,7,0,0,6,6,6,0,0
314,"2019-10",54729,51790,6,6,0,0,0,2,2,0,0,0
315,"2019-02",223621,85223,6,3,6,0,0,0,6,0,0,0
320,"2019-03",2231281,10403,6,6,0,0,0,3,4,0,0,0
321,"2019-07",142094,207037,3,6,7,0,0,6,4,6,0,0
322,"2019-10",53840,4690,7,6,6,0,0,6,7,2,0,0
323,"2019-06",27273,2085751,6,6,0,0,0,3,1,0,0,0
324,"2019-01",235621,204410,6,3,7,0,0,1,6,6,0,0
327,"2019-10",53378,83713,7,6,0,0,0,5,3,0,0,0
329,"2019-01",206781,606930,5,6,7,0,0,7,4,6,0,0
330,"2019-10",11599,11666,6,4,6,0,0,3,6,3,0,0
331,"2019-07",3679,1459374,6,6,0,0,0,2,1,0,0,0
332,"2019-03",53840,55849,2,6,6,0,0,6,4,4,0,0
334,"2019-02",3761,4031,3,6,7,0,0,6,3,6,0,0
335,"2019-09",10819,847617,6,7,6,0,0,7,6,1,0,0
337,"2019-08",4021,5691,6,2,7,0,0,3,6,6,0,0
338,"2019-11",45588,4190,6,7,0,0,0,3,5,0,0,0
339,"2019-10",3456,3761,6,6,0,0,0,0,3,0,0,0
340,"2019-02",11349,10760,6,3,6,0,0,2,6,3,0,0
341,"2019-02",3878,83218,6,7,0,0,0,4,6,0,0,0
342,"2019-10",94598,79623,5,6,6,0,0,7,4,3,0,0
343,"2019-11",4487,4190,3,6,6,0,0,6,1,2,0,0
345,"2019-09",1971098,830070,6,6,0,0,0,1,3,0,0,0
346,"2019-07",3617,1954753,3,6,7,0,0,6,1,6,0,0
347,"2019-03",398304,836822,6,6,0,0,0,0,1,0,0,0
348,"2019-02",92088,167901,6,6,0,0,0,0,2,0,0,0
349,"2019-03",95506,3466,7,6,0,0,0,5,3,0,0,0
351,"2019-09",3867,51296,7,6,0,0,0,6,1,0,0,0
352,"2019-02",10785,10286,6,7,0,0,0,4,6,0,0,0
355,"2019-03",1969408,98984,7,6,6,0,0,5,7,1,0,0
356,"2019-11",3478,94283,6,6,0,0,0,1,2,0,0,0
357,"2019-12",54450,54620,6,6,0,0,0,4,3,0,0,0
358,"2019-02",200425,3464,6,7,0,0,0,2,6,0,0,0
359,"2019-08",52294,3761,6,6,3,4,6,1,3,6,6,2
360,"2019-06",2086499,51245,6,6,0,0,0,4,4,0,0,0
363,"2019-03",2555959,1736726,7,6,0,0,0,5,1,0,0,0
365,"2019-01",94283,206796,7,4,6,7,0,5,6,4,6,0
367,"2019-08",51547,10751,6,6,0,0,0,3,3,0,0,0
369,"2019-07",51288,2204585,6,6,6,0,0,4,7,1,0,0
371,"2019-09",3484,95378,6,6,0,0,0,4,3,0,0,0
372,"2019-09",95375,93116,6,6,0,0,0,3,2,0,0,0
373,"2019-10",49924,4072,4,7,7,0,0,6,6,6,0,0
374,"2019-01",11359,2231281,7,6,0,0,0,5,3,0,0,0
375,"2019-09",4348,3462,3,6,6,0,0,6,3,2,0,0
376,"2019-01",10340,52346,6,6,0,0,0,0,2,0,0,0
377,"2019-11",1393071,191038,6,7,0,0,0,1,5,0,0,0
378,"2019-02",2555959,77442,7,6,0,0,0,6,1,0,0,0
379,"2019-09",51259,1638770,6,6,0,0,0,0,2,0,0,0
380,"2019-08",81943,11541,5,6,6,0,0,7,4,4,0,0
381,"2019-10",198546,3644,6,6,0,0,0,4,4,0,0,0
382,"2019-12",86294,233912,6,6,0,0,0,3,3,0,0,0
383,"2019-11",83713,87176,6,4,6,0,0,2,6,3,0,0
384,"2019-09",10277,10695,6,6,0,0,0,1,0,0,0,0
385,"2019-02",54171,55282,6,6,0,0,0,2,4,0,0,0
386,"2019-05",60718,3967,6,6,0,0,0,2,4,0,0,0
388,"2019-09",3867,4021,7,6,0,0,0,6,3,0,0,0
389,"2019-01",11349,28145,6,6,0,0,0,3,4,0,0,0
390,"2019-10",247320,4802,7,6,0,0,0,5,1,0,0,0
391,"2019-08",11767,11361,6,6,0,0,0,1,2,0,0,0
394,"2019-10",56801,52003,6,6,0,0,0,0,1,0,0,0
395,"2019-09",4401,3534,6,6,0,0,0,1,1,0,0,0
396,"2019-07",2611704,3721,7,6,0,0,0,5,3,0,0,0
398,"2019-09",2611704,3982,6,3,7,0,0,3,6,5,0,0
399,"2019-10",192639,2600371,6,6,0,0,0,4,1,0,0,0
402,"2019-07",56735,49984,6,6,0,0,0,4,3,0,0,0
404,"2019-11",53292,2579584,6,6,0,0,0,1,2,0,0,0
405,"2019-10",3558,1008596,6,6,6,0,0,7,3,4,0,0
406,"2019-09",56801,10463,6,7,0,0,0,3,6,0,0,0
407,"2019-08",4021,2616345,7,6,0,0,0,6,4,0,0,0
408,"2019-09",58289,308451,7,7,0,0,0,6,6,0,0,0
409,"2019-07",4190,2616345,2,7,6,0,0,6,6,2,0,0
410,"2019-01",196974,3700,7,7,6,7,0,6,6,7,6,0
413,"2019-02",2611704,2596786,4,6,6,0,0,6,1,4,0,0
414,"2019-01",3469,3685,4,6,6,6,0,6,3,1,4,0
415,"2019-07",60157,81226,6,6,0,0,0,3,4,0,0,0
418,"2019-09",84281,10281,6,3,6,0,0,3,6,1,0,0
419,"2019-10",4372,53449,6,6,0,0,0,2,2,0,0,0
420,"2019-10",1972277,153449,6,6,0,0,0,4,3,0,0,0
423,"2019-11",919337,252053,6,4,6,0,0,4,6,4,0,0
425,"2019-11",27273,960543,6,7,0,0,0,2,6,0,0,0
426,"2019-03",142720,1972277,4,7,6,0,0,6,5,4,0,0
427,"2019-10",4151,1398935,6,6,0,0,0,1,3,0,0,0
428,"2019-02",11767,281134,6,6,0,0,0,3,3,0,0,0
430,"2019-10",200399,3564,6,6,0,0,0,3,4,0,0,0
431,"2019-09",76531,3558,6,6,0,0,0,4,4,0,0,0
432,"2019-11",1740216,54729,6,7,0,0,0,3,6,0,0,0
433,"2019-07",3960,2115646,4,6,7,0,0,6,1,5,0,0
434,"2019-02",11134,28145,7,6,0,0,0,6,4,0,0,0
436,"2019-07",4128,137307,6,6,0,0,0,3,1,0,0,0
437,"2019-08",4021,3943,6,5,6,0,0,3,7,4,0,0
438,"2019-08",2516571,2500037,4,6,6,0,0,6,3,4,0,0
439,"2019-02",10281,10249,3,6,6,0,0,6,3,3,0,0
441,"2019-11",919337,51222,6,6,0,0,0,4,2,0,0,0
442,"2019-01",3994,3564,6,7,7,0,0,7,6,6,0,0
443,"2019-09",45027,219786,2,6,6,0,0,6,3,4,0,0
444,"2019-03",207438,52294,6,6,0,0,0,3,1,0,0,0
446,"2019-10",3468,253923,6,7,0,0,0,1,6,0,0,0
447,"2019-10",1988251,773853,6,6,0,0,0,2,4,0,0,0
450,"2019-03",51259,55210,6,7,0,0,0,3,6,0,0,0
451,"2019-08",3686,3959,7,6,6,0,0,6,7,4,0,0
452,"2019-05",3679,3617,6,6,0,0,0,1,1,0,0,0
454,"2019-01",79636,74682,6,6,0,0,0,2,4,0,0,0
455,"2019-09",10473,10287,7,3,6,0,0,6,6,3,0,0
456,"2019-09",28990,10819,7,3,7,0,0,5,6,5,0,0
457,"2019-08",844356,10259,3,6,6,0,0,6,1,2,0,0
458,"2019-03",11348,191910,6,6,0,0,0,4,4,0,0,0
459,"2019-02",10760,240233,5,6,6,0,0,7,1,2,0,0
460,"2019-09",217512,83218,6,6,0,0,0,3,4,0,0,0
461,"2019-10",219786,10347,7,6,0,0,0,6,1,0,0,0
462,"2019-03",3679,137424,6,7,0,0,0,4,5,0,0,0
463,"2019-03",3456,3761,4,7,6,0,0,6,5,3,0,0
465,"2019-11",141998,1398935,6,6,0,0,0,4,2,0,0,0
466,"2019-03",1964059,52294,2,7,6,0,0,6,5,3,0,0
467,"2019-07",198546,1940917,6,6,0,0,0,3,4,0,0,0
468,"2019-02",11134,84281,7,6,0,0,0,6,2,0,0,0
469,"2019-08",10403,1969408,6,6,0,0,0,2,1,0,0,0
471,"2019-08",28150,167938,6,4,6,0,0,2,6,3,0,0
472,"2019-09",405461,73232,6,6,0,0,0,3,2,0,0,0
473,"2019-10",7479,93116,6,6,0,0,0,3,4,0,0,0
474,"2019-09",1517181,3791,6,6,0,0,0,4,3,0,0,0
475,"2019-10",3850,2617037,7,6,0,0,0,6,1,0,0,0
476,"2019-10",76531,207050,7,6,0,0,0,6,3,0,0,0
478,"2019-03",10322,98984,6,6,0,0,0,2,3,0,0,0
479,"2019-02",196974,3701,2,7,6,0,0,6,6,4,0,0
480,"2019-07",1517181,252053,6,6,0,0,0,3,4,0,0,0
481,"2019-08",10319,11063,6,6,0,0,0,1,0,0,0,0
482,"2019-10",74092,54182,6,7,0,0,0,4,6,0,0,0
484,"2019-11",218755,1522056,6,6,0,0,0,2,2,0,0,0
485,"2019-07",3946,1554636,6,6,0,0,0,1,1,0,0,0
486,"2019-09",836822,10244,6,6,0,0,0,3,2,0,0,0
487,"2019-02",3711,4053,6,6,7,0,0,7,3,5,0,0
488,"2019-06",1393213,1971098,4,6,6,0,0,6,2,4,0,0
489,"2019-10",3867,218159,5,6,6,0,0,7,1,3,0,0
490,"2019-09",10759,10283,6,6,0,0,0,3,3,0,0,0
491,"2019-07",2085751,141946,7,6,0,0,0,5,2,0,0,0
492,"2019-08",3761,3871,6,7,0,0,0,4,6,0,0,0
493,"2019-08",4073,207050,6,6,0,0,0,3,1,0,0,0
494,"2019-01",10403,10383,6,6,0,0,0,3,3,0,0,0
495,"2019-02",3503,3623,6,7,0,0,0,3,6,0,0,0
496,"2019-06",734160,65230,7,1,6,0,0,5,6,2,0,0
497,"2019-11",10305,53198,6,6,0,0,0,3,3,0,0,0
499,"2019-02",10789,10785,6,3,6,0,0,4,6,0,0,0
500,"2019-02",844356,223621,6,6,0,0,0,1,3,0,0,0
501,"2019-05",4021,2536184,7,6,0,0,0,5,3,0,0,0
502,"2019-08",3687,218159,6,7,0,0,0,3,5,0,0,0
503,"2019-08",10403,10751,3,7,7,0,0,6,5,6,0,0
504,"2019-01",3464,3687,7,6,6,0,0,6,7,4,0,0
505,"2019-08",378488,10378,6,6,0,0,0,2,4,0,0,0
506,"2019-08",53374,3608,6,6,0,0,0,2,2,0,0,0
507,"2019-07",157972,94694,6,6,0,0,0,3,1,0,0,0
508,"2019-10",4417,3608,5,6,7,0,0,7,4,6,0,0
509,"2019-11",9696,4954,6,3,7,0,0,1,6,6,0,0
510,"2019-09",11461,42568,6,6,0,0,0,4,4,0,0,0
511,"2019-09",606930,70414,6,3,7,0,0,4,6,5,0,0
513,"2019-06",65230,373773,3,7,6,0,0,6,6,2,0,0
514,"2019-07",67623,60157,6,7,0,0,0,3,6,0,0,0
515,"2019-09",4190,734160,6,6,0,0,0,4,1,0,0,0
517,"2019-09",3499,2005359,7,6,0,0,0,6,4,0,0,0
518,"2019-03",4515,3686,6,6,0,0,0,4,3,0,0,0
519,"2019-08",3569,66480,6,6,6,0,0,2,4,2,0,0
520,"2019-07",2204585,2391589,6,4,6,0,0,4,6,4,0,0
521,"2019-07",60718,27273,6,6,6,0,0,4,7,2,0,0
522,"2019-02",2093432,2466141,6,7,0,0,0,4,5,0,0,0
524,"2019-08",55849,3785,6,6,0,0,0,3,4,0,0,0
525,"2019-01",10383,11095,7,6,0,0,0,6,1,0,0,0
526,"2019-08",81226,196974,6,6,7,0,0,4,4,6,0,0
527,"2019-05",1863628,373773,7,7,0,0,0,5,6,0,0,0
528,"2019-07",24753,281134,7,6,0,0,0,5,0,0,0,0
530,"2019-02",51547,10344,6,2,6,0,0,4,6,1,0,0
532,"2019-10",200399,3481,6,6,7,0,0,7,4,6,0,0
534,"2019-02",10819,10383,6,4,7,0,0,2,6,5,0,0
537,"2019-01",53374,203816,6,6,6,0,0,1,2,1,0,0
538,"2019-02",55849,4169,6,6,0,0,0,4,3,0,0,0
539,"2019-10",3607,3671,6,4,7,0,0,3,6,5,0,0
540,"2019-07",4128,64700,7,6,0,0,0,5,4,0,0,0
541,"2019-10",51256,3586,6,6,0,0,0,3,4,0,0,0
543,"2019-08",205461,53292,6,6,6,0,0,7,3,1,0,0
544,"2019-10",3839,2596786,7,7,0,0,0,6,5,0,0,0
545,"2019-10",240231,3745,6,6,0,0,0,3,4,0,0,0
546,"2019-01",50083,11558,6,0,6,0,0,4,6,3,0,0
547,"2019-08",45027,10292,6,6,0,0,0,2,1,0,0,0
548,"2019-02",11361,10903,6,6,0,0,0,1,1,0,0,0
549,"2019-11",3850,57433,6,6,0,0,0,1,3,0,0,0
550,"2019-01",2112279,167901,6,6,0,0,0,3,2,0,0,0
551,"2019-09",93398,83713,2,6,6,0,0,6,4,4,0,0
552,"2019-09",4690,2525708,6,6,0,0,0,0,4,0,0,0
553,"2019-05",2526148,27335,6,3,7,0,0,2,6,5,0,0
554,"2019-10",1601923,2062227,6,6,0,0,0,3,0,0,0,0
555,"2019-08",10751,11640,5,6,6,0,0,7,4,3,0,0
